split,n_samples,MAE,RMSE,MDAE,R2,MACE,RMSCE,miscalibration_area,sharpness,NLL,CRPS,seed
train,1789,45.403228320849635,75.1404365749016,22.659740000000056,0.9284758742806238,0.15362190942403356,0.17538560835743106,0.15515080567285588,50.0561440728644,4.756850417701837,30.607583527243026,123
test,768,76.71876139322916,123.74256378488292,40.26400439999994,0.7978776010790893,0.24945312500000008,0.2806001328882235,0.2519728535353536,46.63749634740685,10.242107109393514,61.74814267554135,123
train,1789,45.98246979508105,77.26998254612002,22.250009999999975,0.9249770034614605,0.1608606467130783,0.18426308185896872,0.1624674934269142,49.917855532343204,4.7773948111920514,31.143371210332887,124
test,768,76.37033834140625,122.88365699459524,39.21684699999999,0.7965714840399858,0.2563932291666667,0.28541281363610427,0.2589830597643098,47.36265566261421,24.78983124748069,61.11931121647083,124
train,1789,45.77657778099497,75.69863374616486,23.684740000000005,0.9243982768329433,0.15994952318037847,0.18249568889988294,0.16153442988769254,49.77525714441757,4.794022959889001,30.951431533904085,125
test,768,75.92515067291667,124.81843311755279,38.414420000000064,0.8123019429379406,0.24649739583333335,0.2762461860505394,0.24898726851851857,46.569303430658444,10.413006271850476,60.96005810388647,125
train,1789,46.34140957428731,74.25960056087952,25.129570000000115,0.9282102014619088,0.1601842347454422,0.18388448979368993,0.16179415826297516,49.30703025725039,4.8058104600935785,31.229239980624524,126
test,768,74.23066766432292,126.66237941240308,37.549971600000006,0.800990935773347,0.24234375000000002,0.27018916091273737,0.2447916666666667,45.646398479106445,9.602368677979053,59.7297730609186,126
train,1789,45.30459527043041,75.14379526712938,23.587299999999914,0.9285036530726494,0.15733353659569427,0.17925813340014307,0.1588756290517192,49.75844687499481,4.772766928018171,30.61565252023756,127
test,768,75.05355759921875,118.29163760482388,41.13806000000011,0.8149765833422237,0.26101562500000003,0.2908098838366114,0.26365214646464646,45.33657558287431,11.06545844950046,60.41163865902536,127
train,1789,45.19278670139743,74.73226603914752,23.311170000000033,0.927972139305215,0.15333689042464896,0.17566734696909483,0.15487267992797696,49.262815012226284,4.778064915201408,30.525598416647696,128
test,768,75.67248196223959,123.58054493036404,39.769714199999974,0.8067364225903093,0.2526432291666667,0.2815128941290993,0.255195180976431,43.72273038093961,11.26813220137197,61.36575483728342,128
train,1789,44.39831839642258,72.9120443197035,23.136535,0.9330493604002835,0.15965321182761097,0.18107548109257582,0.16122334318386902,48.232527921443264,4.769453597432553,29.91619775586933,129
test,768,79.95952867890625,133.22207647061813,38.43059400000001,0.7623388128979596,0.2637109375000001,0.29181786695593986,0.26637468434343436,44.177246972516855,26.07081814442628,64.9686149102884,129
train,1789,44.74526944192286,73.88282505319697,22.74300999999997,0.9291057854604731,0.15271078589133374,0.1751429904401483,0.15421403734171263,49.22510612703071,4.769348912179344,30.24968271814338,130
test,768,80.75810728281249,134.90931203931822,41.08454999999989,0.773297925061552,0.266640625,0.30172560644803964,0.2693339646464647,43.22588536603056,33.27495095705549,66.28514471412913,130
train,1789,45.26425446148686,74.56394629409053,23.566760000000045,0.9264932582995918,0.15335360310765572,0.17674031194725087,0.15485357984900208,49.15956060598947,4.7797332470994265,30.610954715718847,131
test,768,77.07237500651041,130.29364061777466,37.544194999999945,0.7963692546833399,0.25618489583333337,0.28843930138990975,0.25877262205387214,45.64619629466964,15.809009879370839,62.42304818588966,131
train,1789,47.19510749144773,77.09616324813997,24.789559999999938,0.9221773117054922,0.15832844939049526,0.18086091844591812,0.1598998624389792,51.064009212442784,4.8261611842511565,31.904928214571466,132
test,768,68.67461205520833,108.9060051071541,37.183715000000035,0.8544083659736448,0.2472135416666667,0.2741153402363086,0.24971064814814817,42.60264726376538,16.02890071441143,54.79444368814169,132
